level,result,block_reached,total_length,time
level_557.txt,1,148,148,23
level_558.txt,1,143,143,24
level_559.txt,1,181,181,24
level_560.txt,1,175,175,24
level_561.txt,1,139,139,19
level_562.txt,1,147,147,23
level_563.txt,0,134,154,45
level_564.txt,1,142,142,19
level_565.txt,1,182,182,25
level_566.txt,0,121,147,45
level_567.txt,0,84,139,45
level_568.txt,1,169,169,23
level_569.txt,1,187,187,25
level_570.txt,1,163,163,22
level_571.txt,0,98,186,45
level_572.txt,1,165,165,23
level_573.txt,1,194,194,24
level_574.txt,1,177,177,23
level_575.txt,1,150,150,24
level_576.txt,1,169,169,23
level_577.txt,1,150,150,20
level_578.txt,1,166,166,24
level_579.txt,1,157,157,21
level_580.txt,1,166,166,23
level_581.txt,1,187,187,25
level_582.txt,0,159,176,18
level_583.txt,0,113,165,45
level_584.txt,1,188,188,27
level_585.txt,1,175,175,25
level_586.txt,1,149,149,22
level_587.txt,1,159,159,22
level_588.txt,0,151,156,15
level_589.txt,1,157,157,23
level_590.txt,1,166,166,24
level_591.txt,1,172,172,24
level_592.txt,0,145,155,45
level_593.txt,1,167,167,23
level_594.txt,1,153,153,21
level_595.txt,1,185,185,24
level_596.txt,1,175,175,26
level_597.txt,1,174,174,23
level_598.txt,1,178,178,24
level_599.txt,1,170,170,24
level_600.txt,0,88,161,45
level_601.txt,1,183,183,25
level_602.txt,0,135,155,25
level_603.txt,1,146,146,22
level_604.txt,1,174,174,23
level_605.txt,1,162,162,22
level_606.txt,0,94,141,34
level_607.txt,1,164,164,22
level_608.txt,1,184,184,23
level_609.txt,1,161,161,21
level_610.txt,1,179,179,26
level_611.txt,1,151,151,22
level_612.txt,0,62,169,45
level_613.txt,0,155,172,17
level_614.txt,0,133,164,45
level_615.txt,1,168,168,24
level_616.txt,1,182,182,24
level_617.txt,1,175,175,25
level_618.txt,0,137,171,45
level_619.txt,1,159,159,22
level_620.txt,1,167,167,22
level_621.txt,1,161,161,21
level_622.txt,1,166,166,28
level_623.txt,1,166,166,23
level_624.txt,1,173,173,25
level_625.txt,1,163,163,22
level_626.txt,1,162,162,23
level_627.txt,1,145,145,23
level_628.txt,1,168,168,23
level_629.txt,0,57,92,12
level_630.txt,1,194,194,26
level_631.txt,1,195,195,24
level_632.txt,1,200,200,28
level_633.txt,1,166,166,25
level_634.txt,0,133,175,15
level_635.txt,1,186,186,25
level_636.txt,1,166,166,22
level_637.txt,1,169,169,24
level_638.txt,1,171,171,23
level_639.txt,0,44,164,45
level_640.txt,0,121,134,45
level_641.txt,1,189,189,26
level_642.txt,0,50,186,45
level_643.txt,0,172,172,45
level_644.txt,1,169,169,23
level_645.txt,0,14,152,45
level_646.txt,1,155,155,23
level_647.txt,1,166,166,24
level_648.txt,1,166,166,27
level_649.txt,1,184,184,29
level_650.txt,1,151,151,21
level_651.txt,0,65,185,45
level_652.txt,1,174,174,23
level_653.txt,1,198,198,26
level_654.txt,1,193,193,27
level_655.txt,1,174,174,23
level_656.txt,1,143,143,21
level_657.txt,1,158,158,23
level_658.txt,1,182,182,26
level_659.txt,1,169,169,23
level_660.txt,1,169,169,24
level_661.txt,1,162,162,22
level_662.txt,1,158,158,22
level_663.txt,1,161,161,23
level_664.txt,1,187,187,24
level_665.txt,1,183,183,27
level_666.txt,1,168,168,22
level_667.txt,0,103,182,12
level_668.txt,1,162,162,22
level_669.txt,1,167,167,23
level_670.txt,1,192,192,28
level_671.txt,1,151,151,21
level_672.txt,1,180,180,24
level_673.txt,1,149,149,24
level_674.txt,1,150,150,22
level_675.txt,1,149,149,21
level_676.txt,1,181,181,25
level_677.txt,1,186,186,27
level_678.txt,1,156,156,23
level_679.txt,1,158,158,22
level_680.txt,1,198,198,29
level_681.txt,1,174,174,24
level_682.txt,1,169,169,24
level_683.txt,1,174,174,24
level_684.txt,1,159,159,22
level_685.txt,1,153,153,23
level_686.txt,1,161,161,22
level_687.txt,1,142,142,21
level_688.txt,0,111,186,45
level_689.txt,1,164,164,22
level_690.txt,0,133,170,45
level_691.txt,1,157,157,22
level_692.txt,1,168,168,22
level_693.txt,1,160,160,23
level_694.txt,1,165,165,24
level_695.txt,1,201,201,27
level_696.txt,1,169,169,23
level_697.txt,1,171,171,25
level_698.txt,1,159,159,24
level_699.txt,1,178,178,25
level_700.txt,1,186,186,24
level_701.txt,1,170,170,25
level_702.txt,0,122,157,45
level_703.txt,1,164,164,23
level_704.txt,1,166,166,24
level_705.txt,1,170,170,23
level_706.txt,1,161,161,22
level_707.txt,1,172,172,23
level_708.txt,1,181,181,24
level_709.txt,1,158,158,22
level_710.txt,1,177,177,25
level_711.txt,1,165,165,22
level_712.txt,1,140,140,20
level_713.txt,1,173,173,38
